               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  52,              1.4889,             0.99365,             0.86058,             0.79237,             0.59546,             0.67517,             0.42088,              1.2434,             0.76456,             0.82812,            0.004951,            0.004951,            0.004951
                  53,              1.5006,              1.0138,             0.86486,             0.72204,             0.60725,             0.65513,             0.40419,              1.2419,             0.74854,              0.8295,            0.004852,            0.004852,            0.004852
                  54,              1.5129,             0.99608,             0.85838,             0.77741,             0.62682,              0.6977,             0.44353,              1.2169,             0.73644,             0.83284,            0.004753,            0.004753,            0.004753
                  55,              1.5197,             0.97474,             0.85474,             0.77148,             0.64596,             0.70601,             0.44641,               1.203,             0.71349,              0.8305,            0.004654,            0.004654,            0.004654
                  56,              1.5032,             0.98435,             0.85916,             0.81058,             0.62454,              0.6857,             0.42964,              1.2054,             0.70723,             0.82644,            0.004555,            0.004555,            0.004555
                  57,              1.5122,             0.98468,             0.86609,             0.76533,               0.603,             0.69496,              0.4452,              1.1896,             0.69304,             0.82828,            0.004456,            0.004456,            0.004456
                  58,              1.4708,              0.9473,             0.86016,             0.73235,             0.61788,             0.68363,             0.42703,              1.2249,             0.73527,             0.82611,            0.004357,            0.004357,            0.004357
                  59,              1.4505,             0.92282,             0.84872,             0.74759,             0.67215,             0.71329,             0.44094,              1.2259,             0.71394,             0.83164,            0.004258,            0.004258,            0.004258
                  60,              1.4391,             0.93137,             0.86286,             0.83489,             0.60407,             0.70827,             0.45952,              1.1664,             0.71476,             0.82044,            0.004159,            0.004159,            0.004159
                  61,              1.4634,             0.94714,             0.86061,             0.73618,             0.63628,             0.70528,             0.45471,              1.1777,             0.68767,             0.82484,             0.00406,             0.00406,             0.00406
                  62,              1.4485,             0.93244,             0.85108,             0.74367,             0.64473,             0.70257,             0.45472,              1.1764,             0.68714,             0.82529,            0.003961,            0.003961,            0.003961
                  63,              1.4499,             0.93573,             0.84847,             0.71328,             0.68996,             0.70355,             0.42348,              1.2182,             0.72889,             0.82218,            0.003862,            0.003862,            0.003862
                  64,              1.4059,             0.91061,              0.8448,             0.73369,              0.6566,             0.70962,              0.4561,              1.1481,             0.66369,             0.82085,            0.003763,            0.003763,            0.003763
                  65,              1.4174,             0.92125,             0.85229,             0.81355,             0.63087,             0.71316,               0.459,              1.1416,             0.66707,             0.82366,            0.003664,            0.003664,            0.003664
                  66,              1.4542,             0.92446,             0.85808,             0.79283,             0.66571,             0.73557,             0.48117,              1.1091,             0.64847,             0.81642,            0.003565,            0.003565,            0.003565
                  67,              1.4171,             0.90248,             0.84377,             0.81556,             0.67048,             0.74622,               0.469,              1.1435,             0.66748,              0.8187,            0.003466,            0.003466,            0.003466
                  68,              1.3988,             0.85425,             0.85239,             0.78544,              0.6819,              0.7362,             0.47068,              1.1255,             0.64976,             0.81633,            0.003367,            0.003367,            0.003367
                  69,              1.3775,             0.88194,             0.84461,             0.75836,             0.66304,             0.70719,              0.4749,              1.1402,               0.684,             0.82095,            0.003268,            0.003268,            0.003268
                  70,              1.3877,              0.8436,             0.84912,              0.7711,             0.68788,             0.74178,             0.49181,              1.0918,             0.63459,             0.81185,            0.003169,            0.003169,            0.003169
                  71,              1.3793,             0.88282,             0.84407,             0.82683,             0.64977,             0.74207,             0.48139,              1.1051,             0.60376,             0.81682,             0.00307,             0.00307,             0.00307
                  72,              1.3414,             0.85237,             0.84451,             0.74662,             0.63757,             0.70267,             0.44899,              1.1389,             0.65874,             0.81598,            0.002971,            0.002971,            0.002971
                  73,              1.3611,             0.85044,             0.84286,             0.80088,             0.67262,             0.74749,             0.47549,              1.1399,              0.6704,             0.81596,            0.002872,            0.002872,            0.002872
                  74,              1.3618,             0.84534,             0.84717,              0.8397,             0.63558,             0.72541,             0.48479,              1.0869,             0.62892,             0.81334,            0.002773,            0.002773,            0.002773
                  75,              1.3354,             0.82323,             0.83766,             0.76104,             0.67768,             0.74616,             0.49518,              1.0728,             0.62044,             0.81479,            0.002674,            0.002674,            0.002674
                  76,              1.3257,             0.85042,             0.84726,              0.8286,              0.6842,             0.73674,             0.48389,              1.0848,             0.65306,             0.81334,            0.002575,            0.002575,            0.002575
                  77,              1.3474,             0.83505,             0.83843,             0.82831,             0.64884,             0.74099,             0.48861,              1.0733,             0.61075,             0.81493,            0.002476,            0.002476,            0.002476
                  78,              1.3372,             0.82072,             0.84041,             0.81377,             0.65753,              0.7248,             0.47638,              1.1097,             0.64156,             0.81457,            0.002377,            0.002377,            0.002377
                  79,              1.3348,             0.83338,             0.84236,             0.87379,             0.66582,             0.75286,              0.5009,               1.075,             0.60716,             0.81361,            0.002278,            0.002278,            0.002278
                  80,              1.1614,             0.67215,              0.8553,             0.80587,              0.6632,              0.7316,             0.49802,              1.0708,             0.63051,             0.81375,            0.002179,            0.002179,            0.002179
                  81,              1.1311,             0.63256,             0.84508,             0.75961,             0.69393,             0.74342,             0.48774,               1.086,             0.61411,             0.81668,             0.00208,             0.00208,             0.00208
                  82,              1.1113,             0.62109,             0.84094,             0.83534,             0.67509,             0.76808,             0.51719,              1.0884,             0.61206,              0.8134,            0.001981,            0.001981,            0.001981
                  83,              1.1058,             0.60369,             0.84039,             0.77996,             0.64223,              0.7184,             0.48137,              1.1001,             0.64227,             0.81706,            0.001882,            0.001882,            0.001882
                  84,              1.1151,             0.62078,             0.83103,              0.8341,             0.69016,              0.7786,             0.51918,              1.0718,             0.58583,             0.81102,            0.001783,            0.001783,            0.001783
                  85,              1.0768,             0.58949,             0.83612,              0.8548,             0.69164,             0.77411,             0.50721,              1.0842,             0.56539,             0.81404,            0.001684,            0.001684,            0.001684
                  86,              1.1033,             0.59022,             0.83659,             0.82732,              0.6439,             0.74381,             0.50277,              1.0626,             0.59108,             0.81131,            0.001585,            0.001585,            0.001585
                  87,              1.0712,             0.58606,             0.83498,             0.79959,             0.71818,             0.77131,              0.5236,              1.0361,             0.56807,             0.80783,            0.001486,            0.001486,            0.001486
                  88,              1.0667,              0.5946,              0.8238,             0.83733,             0.67655,              0.7541,             0.50299,              1.0713,             0.58296,             0.81217,            0.001387,            0.001387,            0.001387
                  89,              1.0734,             0.57628,             0.83021,              0.8631,             0.65502,             0.75475,             0.50306,              1.0558,             0.61043,             0.80879,            0.001288,            0.001288,            0.001288
                  90,              1.0573,             0.56562,             0.83215,             0.84756,             0.69977,             0.78196,              0.5276,              1.0545,              0.5617,             0.80945,            0.001189,            0.001189,            0.001189
                  91,              1.0459,             0.55539,             0.83019,             0.87388,             0.65849,             0.76828,             0.53247,               1.037,             0.55203,             0.81008,             0.00109,             0.00109,             0.00109
                  92,              1.0431,             0.56361,             0.82842,             0.87034,             0.68818,             0.77385,             0.53423,              1.0294,             0.55531,             0.80994,            0.000991,            0.000991,            0.000991
                  93,              1.0317,              0.5387,             0.82289,             0.85187,             0.68547,             0.78244,              0.5408,               1.004,             0.55082,             0.80742,            0.000892,            0.000892,            0.000892
                  94,              1.0392,             0.55291,             0.83484,             0.84821,             0.70907,             0.78298,             0.53683,              1.0112,             0.53522,             0.80707,            0.000793,            0.000793,            0.000793
                  95,              1.0345,             0.54771,             0.82892,             0.85328,             0.71298,             0.80312,             0.54786,              1.0048,             0.53668,             0.80637,            0.000694,            0.000694,            0.000694
                  96,               1.011,             0.52638,              0.8227,             0.80465,             0.71156,             0.77917,             0.53577,              1.0039,             0.54679,             0.80585,            0.000595,            0.000595,            0.000595
                  97,                1.02,             0.53764,             0.83013,             0.85752,             0.68749,             0.77407,             0.53689,              1.0009,             0.54536,             0.80613,            0.000496,            0.000496,            0.000496
                  98,              1.0159,             0.53818,             0.83225,              0.8807,             0.69044,             0.77864,             0.53808,              1.0109,             0.54309,             0.80701,            0.000397,            0.000397,            0.000397
                  99,              0.9911,              0.5158,             0.83417,             0.85841,             0.70235,             0.77611,             0.52778,              1.0099,             0.53848,             0.80746,            0.000298,            0.000298,            0.000298
